代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
150307.SZ,富国中证体育产业A,2015-07-06,--,0.901,0.901,0.901,0.901,529100,476719.1,--,--,0.901,0.5039,1.002,1.002,
150307.SZ,富国中证体育产业A,2015-07-07,0.901,0.811,0.869,0.811,0.85,26729285,22028004.2,-0.051,-5.6604,0.8241,34.5713,1.002,1.002,
150307.SZ,富国中证体育产业A,2015-07-08,0.85,0.84,0.911,0.766,0.859,12345590,10289644.1,0.009,1.0588,0.8335,19.0093,1.002,1.002,
150307.SZ,富国中证体育产业A,2015-07-09,0.859,0.845,0.935,0.822,0.914,4105900,3637278.6,0.055,6.4028,0.8859,9.133,1.002,1.002,
150307.SZ,富国中证体育产业A,2015-07-10,0.914,0.851,0.95,0.85,0.89,1905628,1714292.4,-0.024,-2.6258,0.8996,4.596,1.002,1.002,
150307.SZ,富国中证体育产业A,2015-07-13,0.89,0.82,0.89,0.82,0.851,1338825,1136974.2,-0.039,-4.382,0.8492,3.0347,1.003,1.003,
150307.SZ,富国中证体育产业A,2015-07-14,0.851,0.844,0.886,0.813,0.885,2611990,2260022.8,0.034,3.9953,0.8652,6.3559,1.003,1.003,
150307.SZ,富国中证体育产业A,2015-07-15,0.885,0.864,0.9,0.863,0.88,1016464,897818.9,-0.005,-0.565,0.8833,2.6192,1.003,1.003,
150307.SZ,富国中证体育产业A,2015-07-16,0.88,0.857,0.88,0.857,0.866,265587,230094.1,-0.014,-1.5909,0.8664,0.6962,1.003,1.003,
150307.SZ,富国中证体育产业A,2015-07-17,0.866,0.877,0.925,0.86,0.903,1089074,965060.8,0.037,4.2725,0.8861,2.8323,1.003,1.003,
150307.SZ,富国中证体育产业A,2015-07-20,0.903,0.897,0.92,0.863,0.888,728811,647946.4,-0.015,-1.6611,0.889,1.9152,1.004,1.004,
150307.SZ,富国中证体育产业A,2015-07-21,0.888,0.888,0.916,0.86,0.9,1362060,1223692.1,0.012,1.3514,0.8984,3.6195,1.004,1.004,
150307.SZ,富国中证体育产业A,2015-07-22,0.9,0.869,0.916,0.869,0.905,1128379,1019006.7,0.005,0.5556,0.9031,3.0813,1.004,1.004,
150307.SZ,富国中证体育产业A,2015-07-23,0.905,0.88,0.89,0.87,0.88,813318,715053.9,-0.025,-2.7624,0.8792,2.3144,1.004,1.004,
150307.SZ,富国中证体育产业A,2015-07-24,0.88,0.88,0.89,0.831,0.85,2124775,1839525.6,-0.03,-3.4091,0.8658,6.067,1.004,1.004,
150307.SZ,富国中证体育产业A,2015-07-27,0.85,0.831,0.859,0.824,0.859,3003250,2507766.6,0.009,1.0588,0.835,8.3875,1.005,1.005,
150307.SZ,富国中证体育产业A,2015-07-28,0.859,0.857,0.857,0.809,0.838,6659802,5553709.8,-0.021,-2.4447,0.8339,9.333,1.005,1.005,
150307.SZ,富国中证体育产业A,2015-07-29,0.838,0.827,0.848,0.825,0.833,18035927,15100428.3,-0.005,-0.5967,0.8372,14.4458,1.005,1.005,
150307.SZ,富国中证体育产业A,2015-07-30,0.833,0.833,0.857,0.829,0.85,24370219,20434083.4,0.017,2.0408,0.8385,22.579,1.005,1.005,
150307.SZ,富国中证体育产业A,2015-07-31,0.85,0.846,0.859,0.846,0.856,19835361,16891628.4,0.006,0.7059,0.8516,19.1651,1.005,1.005,
150307.SZ,富国中证体育产业A,2015-08-03,0.856,0.856,0.884,0.856,0.873,17638482,15326133.5,0.017,1.986,0.8689,18.1318,1.006,1.006,
150307.SZ,富国中证体育产业A,2015-08-04,0.873,0.873,0.882,0.86,0.869,18003204,15657571.1,-0.004,-0.4582,0.8697,18.1044,1.006,1.006,
150307.SZ,富国中证体育产业A,2015-08-05,0.869,0.875,0.879,0.858,0.879,14120562,12294131.1,0.01,1.1507,0.8707,14.7837,1.006,1.006,
150307.SZ,富国中证体育产业A,2015-08-06,0.879,0.875,0.888,0.875,0.888,9447413,8336185.6,0.009,1.0239,0.8824,10.9454,1.006,1.006,
150307.SZ,富国中证体育产业A,2015-08-07,0.888,0.882,0.899,0.88,0.89,11580266,10303825.9,0.002,0.2252,0.8898,14.9113,1.006,1.006,
150307.SZ,富国中证体育产业A,2015-08-10,0.89,0.882,0.895,0.875,0.879,4533379,4009797.5,-0.011,-1.236,0.8845,7.9816,1.007,1.007,
150307.SZ,富国中证体育产业A,2015-08-11,0.879,0.87,0.89,0.87,0.887,4913103,4325133.9,0.008,0.9101,0.8803,8.7352,1.007,1.007,
150307.SZ,富国中证体育产业A,2015-08-12,0.887,0.88,0.91,0.875,0.91,8281371,7470330.3,0.023,2.593,0.9021,15.9594,1.007,1.007,
150307.SZ,富国中证体育产业A,2015-08-13,0.91,0.91,0.92,0.9,0.909,4147830,3803972.9,-0.001,-0.1099,0.9171,9.4478,1.007,1.007,
150307.SZ,富国中证体育产业A,2015-08-14,0.909,0.9,0.907,0.885,0.895,2166405,1938729,-0.014,-1.5402,0.8949,4.8536,1.007,1.007,
150307.SZ,富国中证体育产业A,2015-08-17,0.895,0.896,0.899,0.891,0.896,1419040,1268938.8,0.001,0.1117,0.8942,3.3835,1.008,1.008,
150307.SZ,富国中证体育产业A,2015-08-18,0.896,0.894,0.898,0.881,0.894,5550537,4931214.5,-0.002,-0.2232,0.8884,12.5176,1.008,1.008,
150307.SZ,富国中证体育产业A,2015-08-19,0.894,0.891,0.894,0.88,0.881,10077514,8917135.3,-0.013,-1.4541,0.8849,19.5073,1.008,1.008,
150307.SZ,富国中证体育产业A,2015-08-20,0.881,0.88,0.889,0.874,0.888,7183864,6326065.5,0.007,0.7946,0.8806,12.9223,1.008,1.008,
