¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(∑›),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),µ•Œªæª÷µ(‘™),¿€º∆æª÷µ(‘™),
150076.SZ,’„…ÃŒ»Ω°,2013-11-25,0.965,0.946,0.946,0.946,0.946,400,378.4,-0.019,-1.9689,0.946,0.0034,1.054,1.096,
150076.SZ,’„…ÃŒ»Ω°,2013-11-26,0.946,0.959,0.959,0.959,0.959,4100,3931.9,0.013,1.3742,0.959,0.0346,1.054,1.096,
150076.SZ,’„…ÃŒ»Ω°,2013-11-27,0.959,0.959,0.959,0.959,0.959,--,--,0,0,--,--,1.054,1.096,
150076.SZ,’„…ÃŒ»Ω°,2013-11-28,0.959,0.962,0.963,0.962,0.963,12900,12413.8,0.004,0.4171,0.9623,0.1089,1.055,1.097,
150076.SZ,’„…ÃŒ»Ω°,2013-11-29,0.963,0.963,0.963,0.963,0.963,--,--,0,0,--,--,1.055,1.097,
150076.SZ,’„…ÃŒ»Ω°,2013-12-02,0.963,0.962,0.962,0.962,0.962,2200,2116.4,-0.001,-0.1038,0.962,0.0186,1.055,1.097,
150076.SZ,’„…ÃŒ»Ω°,2013-12-03,0.962,0.962,0.962,0.962,0.962,--,--,0,0,--,--,1.055,1.097,
150076.SZ,’„…ÃŒ»Ω°,2013-12-04,0.962,0.954,0.962,0.954,0.962,39700,38111.4,0,0,0.96,0.3354,1.056,1.098,
150076.SZ,’„…ÃŒ»Ω°,2013-12-05,0.962,0.94,0.962,0.94,0.961,30801,29402.6,-0.001,-0.104,0.9546,0.2609,1.056,1.098,
150076.SZ,’„…ÃŒ»Ω°,2013-12-06,0.961,0.956,0.963,0.956,0.963,6200,5928.6,0.002,0.2081,0.9562,0.0525,1.056,1.098,
150076.SZ,’„…ÃŒ»Ω°,2013-12-09,0.963,0.95,0.95,0.95,0.95,1,1,-0.013,-1.3499,1,0,1.056,1.098,
150076.SZ,’„…ÃŒ»Ω°,2013-12-10,0.95,0.95,0.95,0.95,0.95,--,--,0,0,--,--,1.057,1.099,
150076.SZ,’„…ÃŒ»Ω°,2013-12-11,0.95,0.962,0.962,0.952,0.952,2201,2117.4,0.002,0.2105,0.962,0.0186,1.057,1.099,
150076.SZ,’„…ÃŒ»Ω°,2013-12-12,0.952,0.961,0.961,0.952,0.961,901,865.9,0.009,0.9454,0.961,0.0076,1.057,1.099,
150076.SZ,’„…ÃŒ»Ω°,2013-12-13,0.961,0.961,0.961,0.961,0.961,--,--,0,0,--,--,1.057,1.099,
150076.SZ,’„…ÃŒ»Ω°,2013-12-16,0.961,0.945,0.945,0.945,0.945,1,0.9,-0.016,-1.6649,0.9,0,1.058,1.1,
150076.SZ,’„…ÃŒ»Ω°,2013-12-17,0.945,0.945,0.945,0.945,0.945,--,--,0,0,--,--,1.058,1.1,
150076.SZ,’„…ÃŒ»Ω°,2013-12-18,0.945,0.945,0.945,0.945,0.945,--,--,0,0,--,--,1.058,1.1,
150076.SZ,’„…ÃŒ»Ω°,2013-12-19,0.945,0.93,0.93,0.93,0.93,1000,930,-0.015,-1.5873,0.93,0.0085,1.058,1.1,
150076.SZ,’„…ÃŒ»Ω°,2013-12-20,0.93,0.88,0.961,0.88,0.961,501,481.4,0.031,3.3333,0.9609,0.0042,1.058,1.1,
150076.SZ,’„…ÃŒ»Ω°,2013-12-23,0.961,0.961,0.961,0.961,0.961,--,--,0,0,--,--,1.059,1.101,
150076.SZ,’„…ÃŒ»Ω°,2013-12-24,0.961,0.961,0.961,0.961,0.961,--,--,0,0,--,--,1.059,1.101,
150076.SZ,’„…ÃŒ»Ω°,2013-12-25,0.961,0.961,0.961,0.961,0.961,--,--,0,0,--,--,1.059,1.101,
150076.SZ,’„…ÃŒ»Ω°,2013-12-26,0.961,0.961,0.961,0.961,0.961,--,--,0,0,--,--,1.059,1.101,
150076.SZ,’„…ÃŒ»Ω°,2013-12-27,0.961,0.964,0.964,0.964,0.964,8000,7712,0.003,0.3122,0.964,0.0678,1.059,1.101,
150076.SZ,’„…ÃŒ»Ω°,2013-12-30,0.964,0.964,0.964,0.964,0.964,--,--,0,0,--,--,1.06,1.102,
150076.SZ,’„…ÃŒ»Ω°,2013-12-31,0.964,0.951,0.953,0.95,0.95,11000,10462,-0.014,-1.4523,0.9511,0.093,1.06,1.102,
150076.SZ,’„…ÃŒ»Ω°,2014-01-02,0.95,0.95,0.95,0.95,0.95,--,--,0,0,--,--,1,1.102,
150076.SZ,’„…ÃŒ»Ω°,2014-01-03,0.95,0.95,0.95,0.95,0.95,--,--,0,0,--,--,1,1.102,
150076.SZ,’„…ÃŒ»Ω°,2014-01-06,0.95,0.9,0.9,0.9,0.9,32100,28890,-0.05,-10,0.9,0.2715,1.001,1.103,
150076.SZ,’„…ÃŒ»Ω°,2014-01-07,0.9,0.853,0.884,0.853,0.87,108700,93697.9,-0.03,-3.3333,0.862,0.9189,1.001,1.103,
150076.SZ,’„…ÃŒ»Ω°,2014-01-08,0.87,0.871,0.871,0.864,0.868,54000,46858.6,-0.002,-0.2299,0.8678,0.4566,1.001,1.103,
150076.SZ,’„…ÃŒ»Ω°,2014-01-09,0.868,0.861,0.876,0.861,0.868,44100,38486.8,0,0,0.8727,0.3731,1.001,1.103,
150076.SZ,’„…ÃŒ»Ω°,2014-01-10,0.868,0.846,0.846,0.846,0.846,7199,6090.4,-0.022,-2.5346,0.846,0.0609,1.002,1.104,
150076.SZ,’„…ÃŒ»Ω°,2014-01-13,0.846,0.85,0.85,0.85,0.85,10000,8500,0.004,0.4728,0.85,0.0846,1.002,1.104,
150076.SZ,’„…ÃŒ»Ω°,2014-01-14,0.85,0.842,0.842,0.834,0.842,22800,19165.6,-0.008,-0.9412,0.8406,0.1928,1.002,1.104,
150076.SZ,’„…ÃŒ»Ω°,2014-01-15,0.842,0.825,0.825,0.825,0.825,900,742.5,-0.017,-2.019,0.825,0.0076,1.002,1.104,
150076.SZ,’„…ÃŒ»Ω°,2014-01-16,0.825,0.825,0.825,0.825,0.825,--,--,0,0,--,--,1.003,1.105,
150076.SZ,’„…ÃŒ»Ω°,2014-01-17,0.825,0.825,0.825,0.825,0.825,--,--,0,0,--,--,1.003,1.105,
150076.SZ,’„…ÃŒ»Ω°,2014-01-20,0.825,0.825,0.825,0.825,0.825,--,--,0,0,--,--,1.003,1.105,
150076.SZ,’„…ÃŒ»Ω°,2014-01-21,0.825,0.825,0.825,0.825,0.825,--,--,0,0,--,--,1.003,1.105,
150076.SZ,’„…ÃŒ»Ω°,2014-01-22,0.825,0.845,0.845,0.845,0.845,2000,1690,0.02,2.4242,0.845,0.0169,1.004,1.106,
150076.SZ,’„…ÃŒ»Ω°,2014-01-23,0.845,0.848,0.888,0.848,0.888,23994,20449.3,0.043,5.0888,0.8523,0.2029,1.004,1.106,
150076.SZ,’„…ÃŒ»Ω°,2014-01-24,0.888,0.85,0.863,0.85,0.863,57894,49898.6,-0.025,-2.8153,0.8619,0.4897,1.004,1.106,
150076.SZ,’„…ÃŒ»Ω°,2014-01-27,0.863,0.864,0.864,0.848,0.848,7500,6475.2,-0.015,-1.7381,0.8634,0.0634,1.004,1.106,
150076.SZ,’„…ÃŒ»Ω°,2014-01-28,0.848,0.848,0.848,0.848,0.848,--,--,0,0,--,--,1.005,1.107,
150076.SZ,’„…ÃŒ»Ω°,2014-01-29,0.848,0.848,0.848,0.848,0.848,--,--,0,0,--,--,1.005,1.107,
150076.SZ,’„…ÃŒ»Ω°,2014-01-30,0.848,0.866,0.866,0.866,0.866,100,86.6,0.018,2.1226,0.866,0.0008,1.005,1.107,
150076.SZ,’„…ÃŒ»Ω°,2014-02-07,0.866,0.863,0.863,0.859,0.86,62600,53827.8,-0.006,-0.6928,0.8599,0.5295,1.006,1.108,
150076.SZ,’„…ÃŒ»Ω°,2014-02-10,0.86,0.86,0.86,0.86,0.86,--,--,0,0,--,--,1.007,1.109,
150076.SZ,’„…ÃŒ»Ω°,2014-02-11,0.86,0.86,0.86,0.86,0.86,19602,16857.7,0,0,0.86,0.1658,1.007,1.109,
150076.SZ,’„…ÃŒ»Ω°,2014-02-12,0.86,0.821,0.87,0.821,0.861,32400,27878.6,0.001,0.1163,0.8605,0.274,1.007,1.109,
150076.SZ,’„…ÃŒ»Ω°,2014-02-13,0.861,0.861,0.861,0.861,0.861,--,--,0,0,--,--,1.007,1.109,
150076.SZ,’„…ÃŒ»Ω°,2014-02-14,0.861,0.881,0.881,0.881,0.881,1000,881,0.02,2.3229,0.881,0.0085,1.007,1.109,
150076.SZ,’„…ÃŒ»Ω°,2014-02-17,0.881,0.87,0.882,0.866,0.881,110796,96185.8,0,0,0.8681,0.9371,1.008,1.11,
150076.SZ,’„…ÃŒ»Ω°,2014-02-18,0.881,0.879,0.886,0.879,0.879,143302,126293.4,-0.002,-0.227,0.8813,1.2121,1.008,1.11,
150076.SZ,’„…ÃŒ»Ω°,2014-02-19,0.879,0.882,0.89,0.882,0.89,237600,210261.8,0.011,1.2514,0.8849,2.0097,1.008,1.11,
150076.SZ,’„…ÃŒ»Ω°,2014-02-20,0.89,0.893,0.893,0.893,0.893,500,446.5,0.003,0.3371,0.893,0.0054,1.008,1.11,
150076.SZ,’„…ÃŒ»Ω°,2014-02-21,0.893,0.893,0.893,0.893,0.893,--,--,0,0,--,--,1.009,1.111,
150076.SZ,’„…ÃŒ»Ω°,2014-02-24,0.893,0.86,0.86,0.86,0.86,100,86,-0.033,-3.6954,0.86,0.0011,1.009,1.111,
150076.SZ,’„…ÃŒ»Ω°,2014-02-25,0.86,0.87,0.87,0.87,0.87,11204,9747.5,0.01,1.1628,0.87,0.1201,1.009,1.111,
150076.SZ,’„…ÃŒ»Ω°,2014-02-26,0.87,0.887,0.887,0.887,0.887,4900,4346.3,0.017,1.954,0.887,0.0525,1.009,1.111,
150076.SZ,’„…ÃŒ»Ω°,2014-02-27,0.887,0.88,0.88,0.879,0.879,15800,13892.5,-0.008,-0.9019,0.8793,0.1694,1.01,1.112,
150076.SZ,’„…ÃŒ»Ω°,2014-02-28,0.879,0.879,0.879,0.879,0.879,--,--,0,0,--,--,1.01,1.112,
150076.SZ,’„…ÃŒ»Ω°,2014-03-03,0.879,0.888,0.888,0.887,0.887,59209,52526.4,0.008,0.9101,0.8871,0.6328,1.01,1.112,
150076.SZ,’„…ÃŒ»Ω°,2014-03-04,0.887,0.887,0.887,0.887,0.887,--,--,0,0,--,--,1.01,1.112,
150076.SZ,’„…ÃŒ»Ω°,2014-03-05,0.887,0.887,0.887,0.887,0.887,--,--,0,0,--,--,1.011,1.113,
150076.SZ,’„…ÃŒ»Ω°,2014-03-06,0.887,0.85,0.887,0.85,0.885,145981,128368.7,-0.002,-0.2255,0.8794,1.5339,1.011,1.113,
150076.SZ,’„…ÃŒ»Ω°,2014-03-07,0.885,0.88,0.922,0.88,0.881,77379,68553.7,-0.004,-0.452,0.8859,0.8105,1.011,1.113,
150076.SZ,’„…ÃŒ»Ω°,2014-03-10,0.881,0.881,0.887,0.881,0.883,73270,64702.3,0.002,0.227,0.8831,0.7649,1.011,1.113,
150076.SZ,’„…ÃŒ»Ω°,2014-03-11,0.883,0.881,0.882,0.879,0.882,82405,72617.9,-0.001,-0.1133,0.8812,0.8547,1.012,1.114,
150076.SZ,’„…ÃŒ»Ω°,2014-03-12,0.882,0.882,0.882,0.881,0.881,31191,27496.2,-0.001,-0.1134,0.8815,0.3214,1.012,1.114,
150076.SZ,’„…ÃŒ»Ω°,2014-03-13,0.881,0.882,0.882,0.881,0.882,110916,97817.3,0.001,0.1135,0.8819,1.1236,1.012,1.114,
150076.SZ,’„…ÃŒ»Ω°,2014-03-14,0.882,0.882,0.882,0.882,0.882,32740,28876.7,0,0,0.882,0.3296,1.012,1.114,
150076.SZ,’„…ÃŒ»Ω°,2014-03-17,0.882,0.886,0.904,0.885,0.901,48600,43060.6,0.019,2.1542,0.886,0.4893,1.012,1.114,
150076.SZ,’„…ÃŒ»Ω°,2014-03-18,0.901,0.892,0.902,0.888,0.902,209900,186502.6,0.001,0.111,0.8885,2.1177,1.013,1.115,
150076.SZ,’„…ÃŒ»Ω°,2014-03-19,0.902,0.895,0.895,0.889,0.889,29093,25967.7,-0.013,-1.4412,0.8926,0.2935,1.013,1.115,
150076.SZ,’„…ÃŒ»Ω°,2014-03-20,0.889,0.886,0.978,0.886,0.897,506,461.9,0.008,0.8999,0.9128,0.0051,1.013,1.115,
150076.SZ,’„…ÃŒ»Ω°,2014-03-21,0.897,0.884,0.901,0.884,0.894,276115,248110.3,-0.003,-0.3344,0.8986,2.7858,1.013,1.115,
150076.SZ,’„…ÃŒ»Ω°,2014-03-24,0.894,0.895,0.924,0.892,0.924,286217,255745.1,0.03,3.3557,0.8935,2.9064,1.014,1.116,
150076.SZ,’„…ÃŒ»Ω°,2014-03-25,0.924,0.895,0.906,0.895,0.906,25099,22587.2,-0.018,-1.9481,0.8999,0.2568,1.014,1.116,
150076.SZ,’„…ÃŒ»Ω°,2014-03-26,0.906,0.9,0.9,0.887,0.895,84612,76142,-0.011,-1.2141,0.8999,0.8676,1.014,1.116,
150076.SZ,’„…ÃŒ»Ω°,2014-03-27,0.895,0.891,0.898,0.891,0.898,29500,26339.4,0.003,0.3352,0.8929,0.3026,1.014,1.116,
150076.SZ,’„…ÃŒ»Ω°,2014-03-28,0.898,0.894,0.895,0.893,0.895,31900,28525.9,-0.003,-0.3341,0.8942,0.3274,1.014,1.116,
150076.SZ,’„…ÃŒ»Ω°,2014-03-31,0.895,0.895,0.895,0.895,0.895,--,--,0,0,--,--,1.015,1.117,
150076.SZ,’„…ÃŒ»Ω°,2014-04-01,0.895,0.898,0.898,0.897,0.897,700,628.4,0.002,0.2235,0.8977,0.0072,1.015,1.117,
150076.SZ,’„…ÃŒ»Ω°,2014-04-02,0.897,0.896,0.912,0.895,0.901,47350,42394.1,0.004,0.4459,0.8953,0.4873,1.015,1.117,
150076.SZ,’„…ÃŒ»Ω°,2014-04-03,0.901,0.903,0.903,0.892,0.893,33550,30175.8,-0.008,-0.8879,0.8994,0.3455,1.015,1.117,
150076.SZ,’„…ÃŒ»Ω°,2014-04-04,0.893,0.893,0.896,0.893,0.896,22000,19686.8,0.003,0.3359,0.8949,0.2269,1.015,1.117,
150076.SZ,’„…ÃŒ»Ω°,2014-04-08,0.896,0.897,0.897,0.893,0.893,108108,96736.1,-0.003,-0.3348,0.8948,1.1163,1.016,1.118,
150076.SZ,’„…ÃŒ»Ω°,2014-04-09,0.893,0.889,0.9,0.889,0.892,18300,16345.7,-0.001,-0.112,0.8932,0.1899,1.016,1.118,
150076.SZ,’„…ÃŒ»Ω°,2014-04-10,0.892,0.898,0.898,0.898,0.898,30000,26940,0.006,0.6726,0.898,0.3106,1.016,1.118,
150076.SZ,’„…ÃŒ»Ω°,2014-04-11,0.898,0.898,0.898,0.89,0.891,43900,39226.2,-0.007,-0.7795,0.8935,2.0334,1.017,1.119,
150076.SZ,’„…ÃŒ»Ω°,2014-04-14,0.891,0.891,0.891,0.891,0.891,--,--,0,0,--,--,1.017,1.119,
150076.SZ,’„…ÃŒ»Ω°,2014-04-15,0.891,0.891,0.891,0.891,0.891,--,--,0,0,--,--,1.017,1.119,
150076.SZ,’„…ÃŒ»Ω°,2014-04-16,0.891,0.894,0.899,0.894,0.898,56400,50511.1,0.007,0.7856,0.8956,2.6438,1.017,1.119,
150076.SZ,’„…ÃŒ»Ω°,2014-04-17,0.898,0.891,0.985,0.891,0.909,100406,90065.3,0.011,1.2249,0.897,4.7067,1.018,1.12,
150076.SZ,’„…ÃŒ»Ω°,2014-04-18,0.909,0.903,0.903,0.903,0.903,4700,4244.1,-0.006,-0.6601,0.903,0.2203,1.018,1.12,
150076.SZ,’„…ÃŒ»Ω°,2014-04-21,0.903,0.893,0.905,0.893,0.905,106,95.9,0.002,0.2215,0.9047,0.005,1.018,1.12,
150076.SZ,’„…ÃŒ»Ω°,2014-04-22,0.905,0.894,0.912,0.894,0.912,5706,5143.6,0.007,0.7735,0.9014,0.2675,1.018,1.12,
150076.SZ,’„…ÃŒ»Ω°,2014-04-23,0.912,0.912,0.912,0.912,0.912,--,--,0,0,--,--,1.019,1.121,
150076.SZ,’„…ÃŒ»Ω°,2014-04-24,0.912,0.912,0.912,0.912,0.912,--,--,0,0,--,--,1.019,1.121,
150076.SZ,’„…ÃŒ»Ω°,2014-04-25,0.912,0.891,0.919,0.891,0.894,787,706.1,-0.018,-1.9737,0.8972,0.0369,1.019,1.121,
150076.SZ,’„…ÃŒ»Ω°,2014-04-28,0.894,0.893,0.893,0.893,0.893,34700,30987.1,-0.001,-0.1119,0.893,1.6266,1.019,1.121,
150076.SZ,’„…ÃŒ»Ω°,2014-04-29,0.893,0.88,0.959,0.88,0.91,12406,11295.2,0.017,1.9037,0.9105,0.5815,1.02,1.122,
150076.SZ,’„…ÃŒ»Ω°,2014-04-30,0.91,0.821,0.907,0.821,0.907,107,96.4,-0.003,-0.3297,0.9009,0.005,1.02,1.122,
150076.SZ,’„…ÃŒ»Ω°,2014-05-05,0.907,0.904,0.905,0.89,0.904,47500,42560.7,-0.003,-0.3308,0.896,2.206,1.021,1.123,
150076.SZ,’„…ÃŒ»Ω°,2014-05-06,0.904,0.89,0.992,0.89,0.895,65700,58980.5,-0.009,-0.9956,0.8977,3.0654,1.021,1.123,
150076.SZ,’„…ÃŒ»Ω°,2014-05-07,0.895,0.807,0.905,0.807,0.904,307,276.9,0.009,1.0056,0.902,0.0144,1.021,1.123,
150076.SZ,’„…ÃŒ»Ω°,2014-05-08,0.904,0.841,0.994,0.841,0.927,207,198,0.023,2.5442,0.9565,0.0097,1.021,1.123,
150076.SZ,’„…ÃŒ»Ω°,2014-05-09,0.927,0.905,0.926,0.898,0.905,103102,94209,-0.022,-2.3732,0.9137,4.8331,1.021,1.123,
150076.SZ,’„…ÃŒ»Ω°,2014-05-12,0.905,0.889,0.905,0.889,0.9,11000,9933.8,-0.005,-0.5525,0.9031,0.5156,1.022,1.124,
150076.SZ,’„…ÃŒ»Ω°,2014-05-13,0.9,0.829,0.905,0.829,0.904,90007,80917.4,0.004,0.4444,0.899,4.2192,1.022,1.124,
150076.SZ,’„…ÃŒ»Ω°,2014-05-14,0.904,0.814,0.905,0.814,0.905,36991,33301.5,0.001,0.1106,0.9003,1.734,1.022,1.124,
150076.SZ,’„…ÃŒ»Ω°,2014-05-15,0.905,0.895,0.918,0.895,0.918,3200,2866.3,0.013,1.4365,0.8957,0.1513,1.022,1.124,
150076.SZ,’„…ÃŒ»Ω°,2014-05-16,0.918,0.88,0.926,0.88,0.908,34090,30836.2,-0.01,-1.0893,0.9046,1.6162,1.022,1.124,
150076.SZ,’„…ÃŒ»Ω°,2014-05-19,0.908,0.851,0.904,0.851,0.904,700,601,-0.004,-0.4405,0.8586,0.0332,1.023,1.125,
150076.SZ,’„…ÃŒ»Ω°,2014-05-20,0.904,0.904,0.904,0.904,0.904,--,--,0,0,--,--,1.023,1.125,
150076.SZ,’„…ÃŒ»Ω°,2014-05-21,0.904,0.876,0.988,0.814,0.814,1606,1367.2,-0.09,-9.9558,0.8513,0.0758,1.023,1.125,
150076.SZ,’„…ÃŒ»Ω°,2014-05-22,0.814,0.836,0.895,0.836,0.895,52241,46743.6,0.081,9.9509,0.8948,2.4651,1.023,1.125,
150076.SZ,’„…ÃŒ»Ω°,2014-05-23,0.895,0.851,0.909,0.851,0.904,27806,25155.8,0.009,1.0056,0.9047,1.3121,1.024,1.126,
150076.SZ,’„…ÃŒ»Ω°,2014-05-26,0.904,0.86,0.994,0.86,0.911,606,560.1,0.007,0.7743,0.9243,0.0286,1.024,1.126,
150076.SZ,’„…ÃŒ»Ω°,2014-05-27,0.911,0.871,0.919,0.871,0.918,506,464.3,0.007,0.7684,0.9176,0.0239,1.024,1.126,
150076.SZ,’„…ÃŒ»Ω°,2014-05-28,0.918,0.88,0.931,0.88,0.931,106,98.4,0.013,1.4161,0.9283,0.005,1.024,1.126,
150076.SZ,’„…ÃŒ»Ω°,2014-05-29,0.931,0.899,0.916,0.89,0.912,14684,13121.4,-0.019,-2.0408,0.8936,0.6929,1.024,1.126,
150076.SZ,’„…ÃŒ»Ω°,2014-05-30,0.912,0.891,0.935,0.89,0.916,10300,9180.1,0.004,0.4386,0.8913,0.486,1.025,1.127,
150076.SZ,’„…ÃŒ»Ω°,2014-06-03,0.916,0.897,0.914,0.896,0.914,6600,5916.5,-0.002,-0.2183,0.8964,0.3114,1.025,1.127,
150076.SZ,’„…ÃŒ»Ω°,2014-06-04,0.914,0.898,1.005,0.897,0.916,24000,21678.3,0.002,0.2188,0.9033,1.1324,1.025,1.127,
150076.SZ,’„…ÃŒ»Ω°,2014-06-05,0.916,0.895,0.933,0.895,0.927,69426,63779.5,0.011,1.2009,0.9187,3.2756,1.026,1.128,
150076.SZ,’„…ÃŒ»Ω°,2014-06-06,0.927,0.902,0.922,0.902,0.918,30406,27523,-0.009,-0.9709,0.9052,1.4346,1.026,1.128,
150076.SZ,’„…ÃŒ»Ω°,2014-06-09,0.918,0.9,0.914,0.9,0.906,906,822.4,-0.012,-1.3072,0.9077,0.0427,1.026,1.128,
150076.SZ,’„…ÃŒ»Ω°,2014-06-10,0.906,0.88,0.946,0.88,0.942,106,99.9,0.036,3.9735,0.9425,0.005,1.026,1.128,
150076.SZ,’„…ÃŒ»Ω°,2014-06-11,0.942,0.881,0.928,0.881,0.908,52330,47302.4,-0.034,-3.6093,0.9039,2.469,1.027,1.129,
150076.SZ,’„…ÃŒ»Ω°,2014-06-12,0.908,0.905,0.905,0.902,0.902,36400,32850.8,-0.006,-0.6608,0.9025,1.7174,1.027,1.129,
150076.SZ,’„…ÃŒ»Ω°,2014-06-13,0.902,0.9,0.907,0.9,0.905,21106,19070.1,0.003,0.3326,0.9035,0.9958,1.027,1.129,
150076.SZ,’„…ÃŒ»Ω°,2014-06-16,0.905,0.9,0.909,0.889,0.909,3906,3474.5,0.004,0.442,0.8895,0.1843,1.027,1.129,
150076.SZ,’„…ÃŒ»Ω°,2014-06-17,0.909,0.898,0.997,0.898,0.907,1090,1000.5,-0.002,-0.22,0.9179,0.0514,1.028,1.13,
150076.SZ,’„…ÃŒ»Ω°,2014-06-18,0.907,0.9,0.901,0.9,0.901,17600,15852.5,-0.006,-0.6615,0.9007,0.8312,1.028,1.13,
150076.SZ,’„…ÃŒ»Ω°,2014-06-19,0.901,0.9,0.906,0.811,0.811,6208,5569.6,-0.09,-9.9889,0.8972,0.2933,1.028,1.13,
150076.SZ,’„…ÃŒ»Ω°,2014-06-20,0.811,0.892,0.892,0.892,0.892,1331,1187.3,0.081,9.9877,0.892,0.0629,1.028,1.13,
150076.SZ,’„…ÃŒ»Ω°,2014-06-23,0.892,0.906,0.906,0.9,0.905,10600,9602.3,0.013,1.4574,0.9059,0.5009,1.029,1.131,
150076.SZ,’„…ÃŒ»Ω°,2014-06-24,0.905,0.893,0.91,0.893,0.909,3900,3487.9,0.004,0.442,0.8943,0.1843,1.029,1.131,
150076.SZ,’„…ÃŒ»Ω°,2014-06-25,0.909,0.909,0.909,0.909,0.909,--,--,0,0,--,--,1.029,1.131,
150076.SZ,’„…ÃŒ»Ω°,2014-06-26,0.909,0.908,0.908,0.907,0.907,5500,4993.5,-0.002,-0.22,0.9079,0.2599,1.029,1.131,
150076.SZ,’„…ÃŒ»Ω°,2014-06-27,0.907,0.907,0.907,0.907,0.907,--,--,0,0,--,--,1.029,1.131,
150076.SZ,’„…ÃŒ»Ω°,2014-06-30,0.907,0.907,0.907,0.907,0.907,--,--,0,0,--,--,1.03,1.132,
150076.SZ,’„…ÃŒ»Ω°,2014-07-01,0.907,0.891,0.998,0.891,0.92,5106,4705.1,0.013,1.4333,0.9215,0.2424,1.03,1.132,
150076.SZ,’„…ÃŒ»Ω°,2014-07-02,0.92,0.89,0.916,0.89,0.916,41117,37178.4,-0.004,-0.4348,0.9042,1.9523,1.03,1.132,
150076.SZ,’„…ÃŒ»Ω°,2014-07-03,0.916,0.892,0.959,0.892,0.912,117917,107960.2,-0.004,-0.4367,0.9156,5.5988,1.03,1.132,
150076.SZ,’„…ÃŒ»Ω°,2014-07-04,0.912,0.909,0.918,0.909,0.918,15406,14060.9,0.006,0.6579,0.9127,0.7315,1.03,1.132,
150076.SZ,’„…ÃŒ»Ω°,2014-07-07,0.918,0.912,0.918,0.912,0.915,33300,30429.6,-0.003,-0.3268,0.9138,1.5811,1.031,1.133,
150076.SZ,’„…ÃŒ»Ω°,2014-07-08,0.915,0.922,0.922,0.918,0.922,20100,18494.2,0.007,0.765,0.9201,0.9544,1.031,1.133,
150076.SZ,’„…ÃŒ»Ω°,2014-07-09,0.922,0.9,0.989,0.9,0.927,1506,1402.6,0.005,0.5423,0.9313,0.0715,1.031,1.133,
150076.SZ,’„…ÃŒ»Ω°,2014-07-10,0.927,0.908,0.922,0.908,0.922,1100,1012.8,-0.005,-0.5394,0.9207,0.0522,1.031,1.133,
150076.SZ,’„…ÃŒ»Ω°,2014-07-11,0.922,0.9,1.013,0.9,0.914,25206,23111.1,-0.008,-0.8677,0.9169,1.1967,1.032,1.134,
150076.SZ,’„…ÃŒ»Ω°,2014-07-14,0.914,0.921,0.921,0.921,0.921,100,92.1,0.007,0.7659,0.921,0.0047,1.032,1.134,
150076.SZ,’„…ÃŒ»Ω°,2014-07-15,0.921,0.911,0.923,0.911,0.913,18014,16547.7,-0.008,-0.8686,0.9186,0.8552,1.032,1.134,
150076.SZ,’„…ÃŒ»Ω°,2014-07-16,0.913,0.902,0.914,0.902,0.914,5000,4565.2,0.001,0.1095,0.913,0.2374,1.032,1.134,
150076.SZ,’„…ÃŒ»Ω°,2014-07-17,0.914,0.906,0.906,0.906,0.906,400,362.4,-0.008,-0.8753,0.906,0.019,1.033,1.135,
150076.SZ,’„…ÃŒ»Ω°,2014-07-18,0.906,0.922,0.922,0.915,0.915,5100,4701.5,0.009,0.9934,0.9219,0.2421,1.033,1.135,
150076.SZ,’„…ÃŒ»Ω°,2014-07-21,0.915,0.912,0.922,0.912,0.92,78000,71764.5,0.005,0.5464,0.9201,3.7034,1.033,1.135,
150076.SZ,’„…ÃŒ»Ω°,2014-07-22,0.92,0.921,0.921,0.921,0.921,39258,36156.6,0.001,0.1087,0.921,1.8639,1.033,1.135,
150076.SZ,’„…ÃŒ»Ω°,2014-07-23,0.921,0.921,0.921,0.916,0.921,30900,28421.9,0,0,0.9198,1.4685,1.034,1.136,
150076.SZ,’„…ÃŒ»Ω°,2014-07-24,0.921,0.926,0.926,0.916,0.924,51600,47640.9,0.003,0.3257,0.9233,2.4532,1.034,1.136,
150076.SZ,’„…ÃŒ»Ω°,2014-07-25,0.924,0.921,0.923,0.92,0.922,97200,89611.5,-0.002,-0.2165,0.9219,4.7531,1.034,1.136,
150076.SZ,’„…ÃŒ»Ω°,2014-07-28,0.922,0.922,1,0.92,0.938,336297,314118.6,0.016,1.7354,0.9341,16.6065,1.034,1.136,
150076.SZ,’„…ÃŒ»Ω°,2014-07-29,0.938,0.903,0.962,0.903,0.936,67606,63457.3,-0.002,-0.2132,0.9386,3.4572,1.035,1.137,
150076.SZ,’„…ÃŒ»Ω°,2014-07-30,0.936,1.03,1.03,0.94,0.941,138100,133051.3,0.005,0.5342,0.9634,7.0622,1.035,1.137,
150076.SZ,’„…ÃŒ»Ω°,2014-07-31,0.941,0.902,0.954,0.902,0.952,133859,123335.7,0.011,1.169,0.9214,6.7849,1.035,1.137,
