代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502041.SH,长盛上证50A,2015-08-24,--,0.945,0.95,0.927,0.935,2252045,2103516,--,--,0.934,7.5932,1.002,1.002,
502041.SH,长盛上证50A,2015-08-25,0.935,0.921,0.934,0.909,0.92,793675,734578,-0.015,-1.6043,0.9255,9.0074,1.002,1.002,
502041.SH,长盛上证50A,2015-08-26,0.92,0.92,0.936,0.912,0.919,757799,703124,-0.001,-0.1087,0.9279,8.5915,1.002,1.002,
502041.SH,长盛上证50A,2015-08-27,0.919,0.922,0.936,0.914,0.917,1287840,1185505,-0.002,-0.2176,0.9205,14.586,1.002,1.002,
502041.SH,长盛上证50A,2015-08-28,0.917,0.921,0.937,0.916,0.936,1555988,1435156,0.019,2.072,0.9223,19.6555,1.002,1.002,
502041.SH,长盛上证50A,2015-08-31,0.936,0.929,0.96,0.929,0.95,1027719,968393,0.014,1.4957,0.9423,14.4794,1.003,1.003,
502041.SH,长盛上证50A,2015-09-01,0.95,0.94,0.998,0.94,0.99,734453,707912,0.04,4.2105,0.9639,11.1511,1.003,1.003,
502041.SH,长盛上证50A,2015-09-02,0.99,0.988,0.998,0.965,0.996,648423,638256,0.006,0.6061,0.9843,10.3503,1.003,1.003,
502041.SH,长盛上证50A,2015-09-07,0.996,0.995,0.995,0.966,0.992,236647,232230,-0.004,-0.4016,0.9813,3.8232,1.004,1.004,
502041.SH,长盛上证50A,2015-09-08,0.992,0.951,0.998,0.951,0.981,351337,346472,-0.011,-1.1089,0.9862,5.8374,1.004,1.004,
502041.SH,长盛上证50A,2015-09-09,0.981,0.989,0.992,0.955,0.987,249278,241325,0.006,0.6116,0.9681,4.217,1.004,1.004,
502041.SH,长盛上证50A,2015-09-10,0.987,0.986,0.992,0.971,0.982,228737,225294,-0.005,-0.5066,0.9849,3.9744,1.004,1.004,
502041.SH,长盛上证50A,2015-09-11,0.982,0.973,0.976,0.972,0.972,227813,221899,-0.01,-1.0183,0.974,4.0613,1.005,1.005,
502041.SH,长盛上证50A,2015-09-14,0.972,0.966,0.998,0.966,0.987,364846,356155,0.015,1.5432,0.9762,6.5925,1.005,1.005,
502041.SH,长盛上证50A,2015-09-15,0.987,0.965,0.981,0.965,0.981,6137,6008,-0.006,-0.6079,0.979,0.115,1.005,1.005,
502041.SH,长盛上证50A,2015-09-16,0.981,0.971,0.997,0.97,0.993,357636,348180,0.012,1.2232,0.9736,6.7303,1.005,1.005,
502041.SH,长盛上证50A,2015-09-17,0.993,0.989,1,0.961,0.989,164842,162281,-0.004,-0.4028,0.9845,3.1316,1.005,1.005,
502041.SH,长盛上证50A,2015-09-18,0.989,0.993,0.999,0.982,0.994,28100,27865,0.005,0.5056,0.9916,0.5364,1.006,1.006,
502041.SH,长盛上证50A,2015-09-21,0.994,0.994,1.081,0.994,1.01,10500,10516,0.016,1.6097,1.0015,0.2004,1.006,1.006,
502041.SH,长盛上证50A,2015-09-22,1.01,1.009,1.02,0.974,0.99,50260,50350,-0.02,-1.9802,1.0018,0.9641,1.006,1.006,
502041.SH,长盛上证50A,2015-09-23,0.99,0.991,1.014,0.991,1.014,542,539,0.024,2.4242,0.9945,0.0104,1.006,1.006,
502041.SH,长盛上证50A,2015-09-24,1.014,1.014,1.014,1.014,1.014,--,--,0,0,--,--,1.006,1.006,
502041.SH,长盛上证50A,2015-09-25,1.014,0.985,1.012,0.985,1.012,52391,51919,-0.002,-0.1972,0.991,1.0098,1.007,1.007,
502041.SH,长盛上证50A,2015-09-28,1.012,1.012,1.012,1.012,1.012,--,--,0,0,--,--,1.007,1.007,
502041.SH,长盛上证50A,2015-09-29,1.012,0.964,0.999,0.964,0.999,26900,26240,-0.013,-1.2846,0.9755,0.5185,1.007,1.007,
