代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
150121.SZ,银河沪深300成长A,2013-06-06,--,1.031,1.034,1.023,1.026,52647967,54264062.6,--,--,1.0307,54.1952,1.012,1.012,
150121.SZ,银河沪深300成长A,2013-06-07,1.026,1.029,1.032,1.029,1.03,10996865,11330209.3,0.004,0.3899,1.0303,11.32,1.013,1.013,
150121.SZ,银河沪深300成长A,2013-06-13,1.03,1.031,1.031,1.021,1.027,2516905,2586987.6,-0.003,-0.2913,1.0278,2.5909,1.014,1.014,
150121.SZ,银河沪深300成长A,2013-06-14,1.027,1.029,1.03,1.028,1.03,2919567,3005740.3,0.003,0.2921,1.0295,3.0054,1.014,1.014,
150121.SZ,银河沪深300成长A,2013-06-17,1.03,1.029,1.03,1.027,1.029,1934152,1989664.7,-0.001,-0.0971,1.0287,4.3013,1.014,1.014,
150121.SZ,银河沪深300成长A,2013-06-18,1.029,1.027,1.03,1.025,1.028,557627,572975.5,-0.001,-0.0972,1.0275,1.9388,1.015,1.015,
150121.SZ,银河沪深300成长A,2013-06-19,1.028,1.026,1.03,1.025,1.029,683811,702704.3,0.001,0.0973,1.0276,2.5728,1.015,1.015,
150121.SZ,银河沪深300成长A,2013-06-20,1.029,1.026,1.03,1.026,1.03,1693638,1741876.3,0.001,0.0972,1.0285,6.5225,1.015,1.015,
150121.SZ,银河沪深300成长A,2013-06-21,1.03,1.026,1.026,1.008,1.011,72003,73124,-0.019,-1.8447,1.0156,0.2903,1.015,1.015,
150121.SZ,银河沪深300成长A,2013-06-24,1.011,1.012,1.012,0.966,0.994,38702,38234.4,-0.017,-1.6815,0.9879,0.167,1.016,1.016,
150121.SZ,银河沪深300成长A,2013-06-25,0.994,0.976,0.994,0.976,0.993,519162,507955.1,-0.001,-0.1006,0.9784,2.2405,1.016,1.016,
150121.SZ,银河沪深300成长A,2013-06-26,0.993,1.007,1.007,0.97,1.006,203860,201465,0.013,1.3092,0.9883,0.8821,1.016,1.016,
150121.SZ,银河沪深300成长A,2013-06-27,1.006,1.007,1.007,0.99,0.997,161202,160551.9,-0.009,-0.8946,0.996,0.7134,1.016,1.016,
150121.SZ,银河沪深300成长A,2013-06-28,0.997,0.996,1.028,0.996,1.006,664844,664353.9,0.009,0.9027,0.9993,2.9424,1.016,1.016,
150121.SZ,银河沪深300成长A,2013-07-01,1.006,0.984,1.006,0.984,1.006,144508,145349.9,0,0,1.0058,0.6475,1.017,1.017,
150121.SZ,银河沪深300成长A,2013-07-02,1.006,1.001,1.015,1.001,1.015,508034,512536.2,0.009,0.8946,1.0089,2.3273,1.017,1.017,
150121.SZ,银河沪深300成长A,2013-07-03,1.015,1.005,1.024,1.005,1.024,198953,200935.6,0.009,0.8867,1.01,0.9175,1.017,1.017,
150121.SZ,银河沪深300成长A,2013-07-04,1.024,1.029,1.035,1.011,1.035,638553,658580.2,0.011,1.0742,1.0314,3.0043,1.017,1.017,
150121.SZ,银河沪深300成长A,2013-07-05,1.035,1.024,1.03,1.024,1.025,191219,196268.3,-0.01,-0.9662,1.0264,0.9035,1.018,1.018,
150121.SZ,银河沪深300成长A,2013-07-08,1.025,1.024,1.024,1.015,1.016,188835,191882.7,-0.009,-0.878,1.0161,0.9216,1.018,1.018,
150121.SZ,银河沪深300成长A,2013-07-09,1.016,1.016,1.016,1.008,1.008,339807,344255.7,-0.008,-0.7874,1.0131,1.665,1.018,1.018,
150121.SZ,银河沪深300成长A,2013-07-10,1.008,1.016,1.018,0.996,1.018,229202,231424.7,0.01,0.9921,1.0097,1.1381,1.019,1.019,
150121.SZ,银河沪深300成长A,2013-07-11,1.018,1.018,1.032,1.018,1.03,1557417,1596698.1,0.012,1.1788,1.0252,7.8437,1.019,1.019,
150121.SZ,银河沪深300成长A,2013-07-12,1.03,1.025,1.025,1.01,1.013,386259,393383,-0.017,-1.6505,1.0184,2.0257,1.019,1.019,
150121.SZ,银河沪深300成长A,2013-07-15,1.013,1.013,1.027,1.01,1.013,453074,462474.7,0,0,1.0207,2.6046,1.019,1.019,
150121.SZ,银河沪深300成长A,2013-07-16,1.013,1.028,1.028,1.01,1.023,200028,205073.4,0.01,0.9872,1.0252,1.1762,1.02,1.02,
150121.SZ,银河沪深300成长A,2013-07-17,1.023,1.027,1.027,1.02,1.026,74107,75974.9,0.003,0.2933,1.0252,0.446,1.02,1.02,
150121.SZ,银河沪深300成长A,2013-07-18,1.026,1.016,1.016,1.016,1.016,245550,249478.8,-0.01,-0.9747,1.016,1.4996,1.02,1.02,
150121.SZ,银河沪深300成长A,2013-07-19,1.016,1.022,1.028,1.022,1.025,130007,133422.2,0.009,0.8858,1.0263,0.7906,1.02,1.02,
150121.SZ,银河沪深300成长A,2013-07-22,1.025,1.017,1.017,1.017,1.017,34505,35091.6,-0.008,-0.7805,1.017,0.213,1.021,1.021,
150121.SZ,银河沪深300成长A,2013-07-23,1.017,1.025,1.03,1.016,1.016,330420,339155.5,-0.001,-0.0983,1.0264,2.0562,1.021,1.021,
150121.SZ,银河沪深300成长A,2013-07-24,1.016,1.016,1.016,1.016,1.016,--,--,0,0,--,--,1.021,1.021,
150121.SZ,银河沪深300成长A,2013-07-25,1.016,1.003,1.03,1.003,1.02,256403,262202.5,0.004,0.3937,1.0226,1.6332,1.021,1.021,
150121.SZ,银河沪深300成长A,2013-07-26,1.02,1.02,1.029,1.013,1.029,60800,62497.6,0.009,0.8824,1.0279,0.3882,1.021,1.021,
150121.SZ,银河沪深300成长A,2013-07-29,1.029,1.029,1.029,1.029,1.029,--,--,0,0,--,--,1.022,1.022,
150121.SZ,银河沪深300成长A,2013-07-30,1.029,0.932,1.035,0.932,1.028,275237,276043.2,-0.001,-0.0972,1.0029,1.7926,1.022,1.022,
150121.SZ,银河沪深300成长A,2013-07-31,1.028,1.011,1.012,1.011,1.011,206515,208800.6,-0.017,-1.6537,1.0111,1.345,1.022,1.022,
150121.SZ,银河沪深300成长A,2013-08-01,1.011,1.021,1.021,1.012,1.013,148613,150958,0.002,0.1978,1.0158,0.969,1.022,1.022,
150121.SZ,银河沪深300成长A,2013-08-02,1.013,1.018,1.019,1.011,1.017,100505,101997.4,0.004,0.3949,1.0148,0.6555,1.023,1.023,
150121.SZ,银河沪深300成长A,2013-08-05,1.017,1.017,1.02,1.017,1.019,49600,50464.5,0.002,0.1967,1.0174,0.3285,1.023,1.023,
