¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(∑›),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),µ•Œªæª÷µ(‘™),¿€º∆æª÷µ(‘™),
150073.SZ,≈µ∞≤Œ»Ω°,2012-04-27,--,0.905,0.905,0.905,0.905,1772400,1604022,--,--,0.905,4.8701,1.006,1.006,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-02,0.905,0.875,0.898,0.873,0.88,5064138,4463223.5,-0.025,-2.7624,0.8813,31.3862,1.006,1.006,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-03,0.88,0.879,0.883,0.878,0.88,2048834,1802080.6,0,0,0.8796,13.1841,1.007,1.007,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-04,0.88,0.878,0.882,0.878,0.881,1588826,1396990.3,0.001,0.1136,0.8793,9.409,1.007,1.007,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-07,0.881,0.881,0.888,0.88,0.888,1654882,1460580.3,0.007,0.7946,0.8826,10.68,1.007,1.007,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-08,0.888,0.88,0.888,0.88,0.884,226501,200081.5,-0.004,-0.4505,0.8834,1.4926,1.008,1.008,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-09,0.884,0.883,0.886,0.881,0.883,345329,304591.5,-0.001,-0.1131,0.882,2.3591,1.008,1.008,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-10,0.883,0.882,0.883,0.881,0.883,301506,266137.5,0,0,0.8827,2.0594,1.008,1.008,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-11,0.883,0.883,0.886,0.882,0.883,320502,283756.6,0,0,0.8854,2.2064,1.008,1.008,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-14,0.883,0.886,0.886,0.881,0.881,480707,424178.4,-0.002,-0.2265,0.8824,4.6639,1.009,1.009,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-15,0.881,0.88,0.884,0.88,0.881,106549,93997.7,0,0,0.8822,1.0525,1.009,1.009,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-16,0.881,0.88,0.883,0.876,0.88,373104,328508.2,-0.001,-0.1135,0.8805,3.7764,1.009,1.009,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-17,0.88,0.873,0.882,0.873,0.878,61320,53867.7,-0.002,-0.2273,0.8785,0.6269,1.009,1.009,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-18,0.878,0.874,0.88,0.874,0.878,294512,258705.4,0,0,0.8784,3.0855,1.009,1.009,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-21,0.878,0.878,0.883,0.876,0.883,578596,509162,0.005,0.5695,0.88,6.0745,1.01,1.01,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-22,0.883,0.883,0.887,0.88,0.884,281858,249427.2,0.001,0.1133,0.8849,2.9661,1.01,1.01,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-23,0.884,0.885,0.885,0.884,0.884,132022,116814.3,0,0,0.8848,1.4047,1.01,1.01,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-24,0.884,0.883,0.887,0.883,0.887,78200,69214.2,0.003,0.3394,0.8851,0.8357,1.011,1.011,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-25,0.887,0.883,0.889,0.883,0.889,150300,133256.9,0.002,0.2255,0.8866,1.6143,1.011,1.011,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-28,0.889,0.889,0.898,0.889,0.891,226002,201704.2,0.002,0.225,0.8925,2.4366,1.011,1.011,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-29,0.891,0.893,0.898,0.89,0.897,819258,731495.1,0.006,0.6734,0.8929,8.9969,1.012,1.012,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-30,0.897,0.888,0.898,0.888,0.898,290104,260101.2,0.001,0.1115,0.8966,3.2627,1.012,1.012,
150073.SZ,≈µ∞≤Œ»Ω°,2012-05-31,0.898,0.885,0.897,0.885,0.897,112702,100997.6,-0.001,-0.1114,0.8961,1.3221,1.012,1.012,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-01,0.897,0.894,0.899,0.894,0.897,107827,96649.9,0,0,0.8963,1.305,1.012,1.012,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-04,0.897,0.895,0.897,0.895,0.895,45201,40491.3,-0.002,-0.223,0.8958,0.5537,1.013,1.013,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-05,0.895,0.896,0.903,0.896,0.899,42368,38040.6,0.004,0.4469,0.8979,0.524,1.013,1.013,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-06,0.899,0.898,0.902,0.898,0.902,83970,75537.3,0.003,0.3337,0.8996,1.0464,1.013,1.013,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-07,0.902,0.9,0.917,0.9,0.911,259425,234294.2,0.009,0.9978,0.9031,3.2297,1.013,1.013,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-08,0.911,0.919,0.919,0.903,0.909,143936,130561.3,-0.002,-0.2195,0.9071,1.8051,1.013,1.013,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-11,0.909,0.907,0.91,0.903,0.908,470500,427438.9,-0.001,-0.11,0.9085,5.9566,1.014,1.014,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-12,0.908,0.905,0.911,0.905,0.909,247600,225111.4,0.001,0.1101,0.9092,3.1684,1.014,1.014,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-13,0.909,0.91,0.934,0.907,0.912,248800,226272.2,0.003,0.33,0.9095,3.2081,1.014,1.014,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-14,0.912,0.907,0.917,0.907,0.916,211110,192994.3,0.004,0.4386,0.9142,2.7554,1.015,1.015,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-15,0.916,0.888,0.914,0.888,0.905,118720,107519.5,-0.011,-1.2009,0.9057,1.7058,1.015,1.015,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-18,0.905,0.906,0.914,0.906,0.91,255202,233015.1,0.005,0.5525,0.9131,3.7318,1.015,1.015,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-19,0.91,0.937,0.937,0.911,0.912,88101,80518,0.002,0.2198,0.9139,1.2921,1.015,1.015,
150073.SZ,≈µ∞≤Œ»Ω°,2012-06-20,0.912,0.912,0.917,0.908,0.908,122601,112104.2,-0.004,-0.4386,0.9144,1.8784,1.016,1.016,
