代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502010.SH,易方达证券公司,2015-07-15,--,1.099,1.1,1,1.1,3787596,3858572,--,--,1.0187,3.8695,0.9999,0.9999,
502010.SH,易方达证券公司,2015-07-16,1.1,1.001,1.09,0.99,0.996,19365836,19209845,-0.104,-9.4545,0.9919,19.7844,1.0004,1.0004,
502010.SH,易方达证券公司,2015-07-17,0.996,0.991,1.014,0.991,1.005,8984094,8995867,0.009,0.9036,1.0013,9.1783,1.0015,1.0015,
502010.SH,易方达证券公司,2015-07-20,1.005,1.004,1.014,1.001,1.001,4571626,4588141,-0.004,-0.398,1.0036,4.6704,1.0015,1.0015,
502010.SH,易方达证券公司,2015-07-21,1.001,1,1.099,1,1.067,5671445,5944737,0.066,6.5934,1.0482,5.794,1.0052,1.0052,
502010.SH,易方达证券公司,2015-07-22,1.067,1.039,1.126,1.005,1.013,7404349,7734008,-0.054,-5.0609,1.0445,7.5644,1.0027,1.0027,
502010.SH,易方达证券公司,2015-07-23,1.013,0.998,1.006,0.995,1.003,44839466,44881690,-0.01,-0.9872,1.0009,45.8085,1.0084,1.0084,
502010.SH,易方达证券公司,2015-07-24,1.003,1.001,1.004,0.992,0.994,34193155,34114828,-0.009,-0.8973,0.9977,34.9321,0.9827,0.9827,
502010.SH,易方达证券公司,2015-07-27,0.994,0.956,0.974,0.896,0.9,15013528,13972302,-0.094,-9.4567,0.9306,15.338,0.8912,0.8912,
502010.SH,易方达证券公司,2015-07-28,0.9,0.856,0.971,0.856,0.928,16157489,14747249,0.028,3.1111,0.9127,16.5067,0.9415,0.9415,
502010.SH,易方达证券公司,2015-07-29,0.928,0.93,0.95,0.894,0.937,9162089,8428702,0.009,0.9698,0.92,9.3601,0.9434,0.9434,
502010.SH,易方达证券公司,2015-07-30,0.937,0.934,0.946,0.843,0.905,3661325,3390385,-0.032,-3.4152,0.926,3.7405,0.8977,0.8977,
502010.SH,易方达证券公司,2015-07-31,0.905,0.893,0.909,0.873,0.896,3155720,2835046,-0.009,-0.9945,0.8984,3.2239,0.9013,0.9013,
502010.SH,易方达证券公司,2015-08-03,0.896,0.87,0.899,0.868,0.897,3169133,2803019,0.001,0.1116,0.8845,3.2376,0.906,0.906,
502010.SH,易方达证券公司,2015-08-04,0.897,0.897,0.931,0.881,0.931,5202746,4721704,0.034,3.7904,0.9075,5.3152,0.9269,0.9269,
502010.SH,易方达证券公司,2015-08-05,0.931,0.931,0.931,0.903,0.903,1991895,1821901,-0.028,-3.0075,0.9147,2.0349,0.8999,0.8999,
