代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502055.SH,长盛中证全指证券B,2015-08-24,--,1.02,1.099,1.02,1.038,4804762,4986992,--,--,1.0379,15.153,0.998,0.998,
502055.SH,长盛中证全指证券B,2015-08-25,1.038,1.049,1.094,1.04,1.06,2389357,2534758,0.022,2.1195,1.0609,49.5923,1.004,1.004,
502055.SH,长盛中证全指证券B,2015-08-26,1.06,1.083,1.16,1.083,1.135,2153092,2396068,0.075,7.0755,1.1128,38.6885,1.004,1.004,
502055.SH,长盛中证全指证券B,2015-08-27,1.135,1.122,1.19,1.073,1.124,1615906,1836428,-0.011,-0.9692,1.1365,29.4717,1.004,1.004,
502055.SH,长盛中证全指证券B,2015-08-28,1.124,1.12,1.12,1.055,1.088,2986355,3207158,-0.036,-3.2028,1.0739,57.6817,1.006,1.006,
502055.SH,长盛中证全指证券B,2015-08-31,1.088,1.088,1.088,1.031,1.049,2604026,2729054,-0.039,-3.5846,1.048,70.5392,1.005,1.005,
502055.SH,长盛中证全指证券B,2015-09-01,1.049,1.052,1.052,0.966,1.037,1087180,1120261,-0.012,-1.1439,1.0304,31.2426,1.005,1.005,
502055.SH,长盛中证全指证券B,2015-09-02,1.037,1.037,1.045,1,1.042,964140,996099,0.005,0.4822,1.0331,29.6595,1.005,1.005,
502055.SH,长盛中证全指证券B,2015-09-07,1.042,1.023,1.08,1.023,1.034,1690848,1753339,-0.008,-0.7678,1.037,52.6449,1.004,1.004,
502055.SH,长盛中证全指证券B,2015-09-08,1.034,1.041,1.057,1.028,1.056,1727728,1789028,0.022,2.1277,1.0355,60.1807,1.004,1.004,
502055.SH,长盛中证全指证券B,2015-09-09,1.056,1.06,1.1,1.039,1.071,1035193,1101193,0.015,1.4205,1.0638,35.0106,1.002,1.002,
502055.SH,长盛中证全指证券B,2015-09-10,1.071,1.075,1.075,1.042,1.056,443217,464787,-0.015,-1.4006,1.0487,15.4372,0.988,0.988,
502055.SH,长盛中证全指证券B,2015-09-11,1.056,1.04,1.08,1.005,1.079,810034,833746,0.023,2.178,1.0293,36.9272,0.983,0.983,
502055.SH,长盛中证全指证券B,2015-09-14,1.079,1.06,1.064,0.971,0.981,275886,278713,-0.098,-9.0825,1.0102,12.6056,0.953,0.953,
502055.SH,长盛中证全指证券B,2015-09-15,0.981,0.981,0.981,0.96,0.967,147000,142181,-0.014,-1.4271,0.9672,6.9583,0.917,0.917,
502055.SH,长盛中证全指证券B,2015-09-16,0.967,0.96,1.062,0.947,1.055,274100,283631,0.088,9.1003,1.0348,13.6736,0.969,0.969,
502055.SH,长盛中证全指证券B,2015-09-17,1.055,1.055,1.055,0.951,1.049,244708,252852,-0.006,-0.5687,1.0333,12.3615,0.945,0.945,
502055.SH,长盛中证全指证券B,2015-09-18,1.049,0.965,1.047,0.965,1.009,96308,95749,-0.04,-3.8132,0.9942,4.865,0.948,0.948,
502055.SH,长盛中证全指证券B,2015-09-21,1.009,0.995,1.022,0.95,1.021,462130,448350,0.012,1.1893,0.9702,23.9495,0.962,0.962,
