代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(份),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),单位净值(元),累计净值(元),
502025.SH,鹏华国证钢铁行业B,2015-08-24,--,1.099,1.099,1.05,1.064,2575956,2790235,--,--,1.0832,8.8882,0.998,0.998,
502025.SH,鹏华国证钢铁行业B,2015-08-25,1.064,1.064,1.064,1.037,1.048,1835655,1935956,-0.016,-1.5038,1.0546,35.4333,1.018,1.018,
502025.SH,鹏华国证钢铁行业B,2015-08-26,1.048,1.067,1.095,1.05,1.077,1788732,1913450,0.029,2.7672,1.0697,41.7704,1.006,1.006,
502025.SH,鹏华国证钢铁行业B,2015-08-27,1.077,1.061,1.09,1.061,1.08,216800,232952,0.003,0.2786,1.0745,5.0865,1.024,1.024,
502025.SH,鹏华国证钢铁行业B,2015-08-28,1.08,1.089,1.169,1.066,1.169,600282,667006,0.089,8.2407,1.1112,15.7861,1.044,1.044,
502025.SH,鹏华国证钢铁行业B,2015-08-31,1.169,1.06,1.269,1.06,1.091,147300,161183,-0.078,-6.6724,1.0942,3.9148,1.041,1.041,
502025.SH,鹏华国证钢铁行业B,2015-09-01,1.091,1.06,1.11,1.06,1.084,70209,75948,-0.007,-0.6416,1.0817,1.8858,1.043,1.043,
502025.SH,鹏华国证钢铁行业B,2015-09-02,1.084,1.084,1.086,1.015,1.086,40509,42743,0.002,0.1845,1.0551,1.1029,1.039,1.039,
502025.SH,鹏华国证钢铁行业B,2015-09-07,1.086,1.086,1.167,1.055,1.08,56605,63087,-0.006,-0.5525,1.1145,1.5517,1.036,1.036,
502025.SH,鹏华国证钢铁行业B,2015-09-08,1.08,1.002,1.165,1.002,1.165,156154,179520,0.085,7.8704,1.1496,4.3461,1.036,1.036,
502025.SH,鹏华国证钢铁行业B,2015-09-09,1.165,1.165,1.282,1.066,1.113,1399640,1601122,-0.052,-4.4635,1.144,46.5708,1.036,1.036,
502025.SH,鹏华国证钢铁行业B,2015-09-10,1.113,1.088,1.13,1.087,1.103,529340,581297,-0.01,-0.8985,1.0982,19.3049,1.036,1.036,
