´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(·Ý),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),µ¥Î»¾»Öµ(Ôª),ÀÛ¼Æ¾»Öµ(Ôª),
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-01,1.01,0.996,1.005,0.994,0.997,801869,797477.5,-0.013,-1.2871,0.9945,0.1456,1.014,1.276,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-02,0.997,0.995,1,0.995,1,297500,296700.6,0.003,0.3009,0.9973,0.054,1.014,1.276,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-03,1,0.999,1,0.996,1,808900,807506,0,0,0.9983,0.1469,1.015,1.277,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-04,1,0.997,1.007,0.997,1.003,278200,279344.6,0.003,0.3,1.0041,0.0505,1.016,1.278,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-07,1.003,1.003,1.008,1.002,1.008,633095,634928.2,0.005,0.4985,1.0029,0.1149,1.017,1.279,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-08,1.008,1.006,1.007,1.004,1.005,153105,153865.2,-0.003,-0.2976,1.005,0.0278,1.018,1.28,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-09,1.005,1.004,1.005,1.004,1.005,38200,38387.9,0,0,1.0049,0.0069,1.018,1.28,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-10,1.005,1.006,1.012,1.004,1.004,86900,87472.3,-0.001,-0.0995,1.0066,0.0158,1.018,1.28,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-11,1.004,1.015,1.015,1,1.01,260401,261185.1,0.006,0.5976,1.003,0.0473,1.018,1.28,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-14,1.01,0.995,1.005,0.995,1,78400,78419,-0.01,-0.9901,1.0002,0.0142,1.019,1.281,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-15,1,1,1.005,1,1.005,75600,75915.9,0.005,0.5,1.0042,0.0137,1.019,1.281,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-16,1.005,1.006,1.01,1.006,1.01,14200,14326,0.005,0.4975,1.0089,0.0026,1.02,1.282,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-17,1.01,1.006,1.01,1.005,1.009,1059464,1066800.8,-0.001,-0.099,1.0069,0.1924,1.021,1.283,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-18,1.009,1.008,1.008,1.007,1.008,80579,81163.1,-0.001,-0.0991,1.0072,0.0146,1.021,1.283,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-21,1.008,1.008,1.013,1.008,1.013,54695,55254.1,0.005,0.496,1.0102,0.0099,1.023,1.285,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-22,1.013,1.005,1.013,1.005,1.013,75000,75867.4,0,0,1.0116,0.0136,1.024,1.286,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-23,1.013,1.013,1.018,1.008,1.017,92888,94277.5,0.004,0.3949,1.015,0.0169,1.025,1.287,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-24,1.017,1.009,1.014,1.009,1.013,51100,51744.8,-0.004,-0.3933,1.0126,0.0093,1.026,1.288,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-25,1.013,1.013,1.013,1.013,1.013,--,--,0,0,--,--,1.026,1.288,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-28,1.013,1.013,1.018,1.013,1.016,142784,144900.7,0.003,0.2962,1.0148,0.0259,1.027,1.289,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-29,1.016,1.016,1.017,1.016,1.016,282200,286740.2,0,0,1.0161,0.0512,1.027,1.289,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-30,1.016,1.018,1.018,1.015,1.016,157200,159648.3,0,0,1.0156,0.0285,1.029,1.291,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2015-12-31,1.016,1.016,1.019,1.014,1.016,233600,237377.9,0,0,1.0162,0.0424,1.029,1.291,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2016-01-04,1.016,1.014,1.015,1.012,1.014,139064,141004.3,-0.002,-0.1969,1.014,0.0252,1.027,1.289,
150154.SZ,ÖÐº£»Ý·á´¿Õ®B,2016-01-05,1.014,1.011,1.011,1.007,1.007,76154,76847.5,-0.007,-0.6903,1.0091,0.0138,1.026,1.288,
